t,rbank
2018-09-13,1.30%
2018-09-14,-0.14%
2018-09-17,-0.92%
2018-09-18,1.61%
2018-09-19,0.51%
2018-09-20,0.43%
2018-09-21,3.94%
2018-09-25,-1.31%
2018-09-26,1.11%
2018-09-27,0.03%
2018-09-28,1.25%
2018-10-08,-3.62%
2018-10-09,-0.16%
2018-10-10,0.54%
2018-10-11,-3.76%
2018-10-12,2.02%
2018-10-15,-1.20%
2018-10-16,0.67%
2018-10-17,0.73%
2018-10-18,-1.93%
2018-10-19,3.11%
2018-10-22,2.64%
2018-10-23,-2.33%
2018-10-24,1.90%
2018-10-25,1.00%
2018-10-26,-0.17%
2018-10-29,-1.95%
2018-10-30,1.55%
2018-10-31,0.22%
2018-11-01,-0.83%
2018-11-02,2.18%
2018-11-05,-1.05%
2018-11-06,-0.68%
2018-11-07,-0.41%
2018-11-08,0.67%
2018-11-09,-3.11%
2018-11-12,0.32%
2018-11-13,0.33%
2018-11-14,-1.16%
2018-11-15,0.82%
2018-11-16,0.01%
2018-11-19,1.33%
2018-11-20,-1.42%
2018-11-21,0.08%
2018-11-22,-0.35%
2018-11-23,-1.25%
2018-11-26,0.44%
2018-11-27,-0.52%
2018-11-28,0.70%
2018-11-29,-0.50%
2018-11-30,0.86%
2018-12-03,1.78%
2018-12-04,0.34%
2018-12-05,-0.68%
2018-12-06,-1.17%
2018-12-07,-0.13%
2018-12-10,-0.91%
2018-12-11,-0.02%
2018-12-12,0.13%
2018-12-13,0.67%
2018-12-14,-1.11%
2018-12-17,0.33%
2018-12-18,-1.02%
2018-12-19,-1.11%
2018-12-20,-1.85%
2018-12-21,-1.06%
2018-12-24,-0.23%
2018-12-25,-0.33%
2018-12-26,-0.32%
2018-12-27,0.18%
2018-12-28,0.93%
2019-01-02,-1.72%
2019-01-03,0.91%
2019-01-04,1.97%
2019-01-07,-0.23%
2019-01-08,-0.44%
2019-01-09,0.86%
2019-01-10,-0.24%
2019-01-11,0.88%
2019-01-14,-0.66%
2019-01-15,1.05%
2019-01-16,0.21%
2019-01-17,-0.53%
2019-01-18,1.80%
2019-01-21,0.24%
2019-01-22,-0.79%
2019-01-23,0.27%
2019-01-24,0.83%
2019-01-25,1.62%
2019-01-28,-0.08%
2019-01-29,0.71%
2019-01-30,-0.37%
2019-01-31,1.80%
2019-02-01,0.09%
2019-02-11,-0.09%
2019-02-12,0.07%
2019-02-13,1.39%
2019-02-14,-0.54%
2019-02-15,-1.96%
2019-02-18,1.87%
2019-02-19,-0.16%
2019-02-20,0.19%
2019-02-21,-0.46%
2019-02-22,1.28%
2019-02-25,6.41%
2019-02-26,-2.35%
2019-02-27,1.51%
2019-02-28,-0.38%
2019-03-01,3.20%
2019-03-04,0.52%
2019-03-05,-0.43%
2019-03-06,0.36%
2019-03-07,-1.69%
2019-03-08,-3.70%
2019-03-11,0.29%
2019-03-12,0.33%
2019-03-13,0.12%
2019-03-14,-0.01%
2019-03-15,0.39%
2019-03-18,1.71%
2019-03-19,-0.50%
2019-03-20,0.14%
2019-03-21,-0.73%
2019-03-22,-0.19%
2019-03-25,-2.71%
2019-03-26,-0.12%
2019-03-27,0.94%
2019-03-28,-0.55%
2019-03-29,2.93%
2019-04-01,1.67%
2019-04-02,0.29%
2019-04-03,0.69%
2019-04-04,1.62%
2019-04-08,0.76%
2019-04-09,-1.14%
2019-04-10,-0.32%
2019-04-11,-0.75%
2019-04-12,0.04%
2019-04-15,0.51%
2019-04-16,3.99%
2019-04-17,-0.57%
2019-04-18,-0.80%
2019-04-19,0.77%
2019-04-22,-2.87%
2019-04-23,0.19%
2019-04-24,0.28%
2019-04-25,-1.01%
2019-04-26,-1.68%
2019-04-29,1.76%
2019-04-30,0.29%
2019-05-06,-2.73%
2019-05-07,-0.21%
2019-05-08,-1.64%
2019-05-09,-1.97%
2019-05-10,2.14%
2019-05-13,-1.48%
2019-05-14,-0.38%
2019-05-15,1.64%
2019-05-16,0.03%
2019-05-17,-1.17%
2019-05-20,0.13%
2019-05-21,0.69%
2019-05-22,-0.26%
2019-05-23,-0.58%
2019-05-24,0.59%
2019-05-27,0.21%
2019-05-28,0.66%
2019-05-29,-0.85%
2019-05-30,-0.02%
2019-05-31,-0.34%
2019-06-03,0.29%
2019-06-04,-0.10%
2019-06-05,0.33%
2019-06-06,-0.02%
2019-06-10,1.35%
2019-06-11,1.03%
2019-06-12,473.42%
2019-06-13,-473.75%
2019-06-14,-0.09%
2019-06-17,0.39%
2019-06-18,0.47%
2019-06-19,0.33%
2019-06-20,2.48%
2019-06-21,-0.89%
2019-06-24,0.24%
2019-06-25,-2.23%
2019-06-26,-0.54%
2019-06-27,1.00%
2019-06-28,-0.32%
2019-07-01,1.31%
2019-07-02,-0.08%
2019-07-03,-0.62%
2019-07-04,-0.14%
2019-07-05,-0.40%
2019-07-08,-1.84%
2019-07-09,-0.72%
2019-07-10,-0.63%
2019-07-11,0.23%
2019-07-12,0.73%
2019-07-15,-0.16%
2019-07-16,-0.16%
2019-07-17,-0.39%
2019-07-18,-0.05%
2019-07-19,1.29%
2019-07-22,-0.25%
2019-07-23,0.14%
2019-07-24,0.57%
2019-07-25,1.51%
2019-07-26,-0.07%
2019-07-29,-0.14%
2019-07-30,0.45%
2019-07-31,-0.77%
2019-08-01,-0.87%
2019-08-02,-1.18%
2019-08-05,-1.87%
2019-08-06,-1.05%
2019-08-07,-0.29%
2019-08-08,1.71%
2019-08-09,-0.11%
2019-08-12,1.12%
2019-08-13,-1.11%
2019-08-14,-0.25%
