t,rnbank
2020-05-19,0.80%
2020-05-20,-0.25%
2020-05-21,-0.84%
2020-05-22,-2.87%
2020-05-25,-0.40%
2020-05-26,0.90%
2020-05-27,-0.51%
2020-05-28,1.36%
2020-05-29,-0.91%
2020-06-01,3.16%
2020-06-02,1.14%
2020-06-03,-0.07%
2020-06-04,-0.20%
2020-06-05,0.61%
2020-06-08,0.83%
2020-06-09,0.49%
2020-06-10,-1.04%
2020-06-11,-1.42%
2020-06-12,-0.28%
2020-06-15,-0.81%
2020-06-16,1.18%
2020-06-17,-0.41%
2020-06-18,0.81%
2020-06-19,2.02%
2020-06-22,1.26%
2020-06-23,0.20%
2020-06-24,0.26%
2020-06-29,-2.44%
2020-06-30,2.33%
2020-07-01,2.26%
2020-07-02,5.18%
2020-07-03,5.46%
2020-07-06,8.65%
2020-07-07,-1.86%
2020-07-08,5.04%
2020-07-09,0.56%
2020-07-10,-3.54%
2020-07-13,1.16%
2020-07-14,-0.55%
2020-07-15,-1.87%
2020-07-16,-5.14%
2020-07-17,-1.97%
2020-07-20,5.45%
2020-07-21,-1.67%
2020-07-22,0.14%
2020-07-23,-0.32%
2020-07-24,-5.16%
2020-07-27,-0.10%
2020-07-28,-0.07%
2020-07-29,3.12%
2020-07-30,-1.41%
2020-07-31,0.93%
2020-08-03,1.77%
2020-08-04,0.87%
2020-08-05,-1.05%
