t,rhouse
2019-09-27,-0.77%
2019-09-30,-0.10%
2019-10-08,2.95%
2019-10-09,2.27%
2019-10-10,-0.08%
2019-10-11,0.65%
2019-10-14,0.72%
2019-10-15,-0.68%
2019-10-16,1.13%
2019-10-17,-0.34%
2019-10-18,-1.90%
2019-10-21,2.49%
2019-10-22,-0.15%
2019-10-23,-1.65%
2019-10-24,0.69%
2019-10-25,0.46%
2019-10-28,-1.32%
2019-10-29,-0.84%
2019-10-30,-0.49%
2019-10-31,-0.51%
2019-11-01,2.01%
2019-11-04,-0.04%
2019-11-05,0.75%
2019-11-06,-0.87%
2019-11-07,0.22%
2019-11-08,-0.82%
2019-11-11,-2.19%
2019-11-12,0.05%
2019-11-13,-0.91%
2019-11-14,-0.17%
2019-11-15,-0.41%
2019-11-18,0.78%
2019-11-19,1.64%
2019-11-20,-0.93%
2019-11-21,-0.07%
2019-11-22,-0.06%
2019-11-25,3.39%
2019-11-26,-0.16%
2019-11-27,-0.90%
2019-11-28,-0.99%
2019-11-29,-0.34%
2019-12-02,2.18%
2019-12-03,0.27%
2019-12-04,-0.81%
2019-12-05,-0.11%
2019-12-06,0.44%
2019-12-09,2.61%
2019-12-10,-0.54%
2019-12-11,0.79%
2019-12-12,-0.81%
2019-12-13,1.30%
2019-12-16,1.74%
2019-12-17,2.17%
2019-12-18,-0.50%
2019-12-19,0.78%
2019-12-20,1.26%
2019-12-23,-2.07%
2019-12-24,-1.18%
2019-12-25,-0.30%
2019-12-26,2.82%
2019-12-27,-0.17%
2019-12-30,1.88%
2019-12-31,0.71%
2020-01-02,0.91%
2020-01-03,-1.10%
2020-01-06,-1.45%
2020-01-07,0.85%
2020-01-08,-1.48%
2020-01-09,2.18%
2020-01-10,-1.48%
2020-01-13,0.98%
2020-01-14,-0.55%
2020-01-15,-1.74%
2020-01-16,-0.34%
2020-01-17,-0.13%
2020-01-20,-1.18%
2020-01-21,-2.74%
2020-01-22,1.99%
2020-01-23,-3.66%
2020-02-03,-9.64%
2020-02-04,2.19%
2020-02-05,0.41%
2020-02-06,0.91%
2020-02-07,-0.76%
2020-02-10,2.76%
2020-02-11,1.14%
2020-02-12,-0.16%
2020-02-13,2.13%
2020-02-14,3.05%
2020-02-17,-0.23%
2020-02-18,-1.65%
2020-02-19,-0.01%
2020-02-20,0.62%
2020-02-21,-1.46%
2020-02-24,-1.71%
2020-02-25,0.56%
2020-02-26,2.84%
2020-02-27,-1.32%
2020-02-28,-0.47%
2020-03-02,4.62%
2020-03-03,-0.46%
2020-03-04,3.53%
2020-03-05,0.47%
2020-03-06,-3.17%
2020-03-09,-2.67%
2020-03-10,1.19%
2020-03-11,-0.83%
2020-03-12,-1.26%
2020-03-13,-1.74%
2020-03-16,-3.94%
2020-03-17,-1.35%
2020-03-18,-4.50%
2020-03-19,-3.17%
2020-03-20,3.12%
2020-03-23,-4.33%
2020-03-24,2.61%
2020-03-25,5.17%
2020-03-26,-0.83%
2020-03-27,1.37%
2020-03-30,-0.93%
2020-03-31,-1.27%
2020-04-01,1.11%
2020-04-02,0.84%
2020-04-03,-0.18%
2020-04-07,1.22%
2020-04-08,-0.74%
2020-04-09,-0.82%
2020-04-10,-0.43%
2020-04-13,0.53%
2020-04-14,2.06%
2020-04-15,-1.65%
2020-04-16,0.42%
2020-04-17,0.57%
2020-04-20,-0.39%
2020-04-21,-1.28%
2020-04-22,0.29%
2020-04-23,0.04%
2020-04-24,-0.97%
2020-04-27,1.03%
2020-04-28,1.12%
2020-04-29,2.11%
2020-04-30,-0.29%
2020-05-06,-1.70%
2020-05-07,-0.96%
2020-05-08,1.32%
2020-05-11,-0.01%
2020-05-12,-1.23%
2020-05-13,-0.06%
2020-05-14,-1.68%
2020-05-15,-0.01%
2020-05-18,1.38%
2020-05-19,-0.53%
2020-05-20,-1.21%
2020-05-21,-0.53%
2020-05-22,-1.99%
2020-05-25,1.55%
2020-05-26,0.70%
2020-05-27,0.19%
2020-05-28,0.61%
2020-05-29,-2.40%
2020-06-01,2.57%
2020-06-02,2.39%
2020-06-03,-0.63%
2020-06-04,-0.55%
2020-06-05,-0.91%
2020-06-08,1.13%
2020-06-09,0.07%
2020-06-10,-1.27%
2020-06-11,-1.29%
2020-06-12,-0.30%
2020-06-15,-0.66%
2020-06-16,1.21%
2020-06-17,-0.52%
2020-06-18,1.20%
2020-06-19,0.07%
2020-06-22,-1.00%
2020-06-23,-0.56%
2020-06-24,2.49%
2020-06-29,-1.67%
2020-06-30,1.57%
2020-07-01,6.80%
2020-07-02,3.41%
2020-07-03,0.63%
2020-07-06,8.40%
2020-07-07,-1.30%
2020-07-08,0.14%
2020-07-09,1.53%
2020-07-10,-3.57%
2020-07-13,-0.26%
2020-07-14,-1.88%
2020-07-15,-2.92%
2020-07-16,-2.26%
2020-07-17,-0.90%
2020-07-20,3.88%
2020-07-21,-0.78%
2020-07-22,-0.24%
2020-07-23,-2.29%
2020-07-24,-2.27%
2020-07-27,-1.72%
2020-07-28,0.72%
2020-07-29,1.11%
2020-07-30,-0.57%
2020-07-31,0.18%
2020-08-03,1.84%
